player_name,player_mu,player_sigma,teammate_name,teammate_mu,teammate_sigma,mu_spread,label
NoobJoinerSecond#OC,72.69,2.22,Tuck Felstra#Yes,39.40,1.92,115,
NoobJoinerSecond#OC,72.69,2.22,BrotatoPro#1104,39.25,2.01,115,
NoobJoinerSecond#OC,71.65,2.23,DiamJngFKBoi4Lyf#OC,40.44,2.36,115,
NoobJoinerSecond#OC,71.65,2.23,Orange TT#OC,36.98,2.29,115,
NoobJoinerSecond#OC,70.92,2.23,Argenti#4771,46.57,1.77,115,
NoobJoinerSecond#OC,70.92,2.23,Yakinator#OC,45.09,2.26,115,
NoobJoinerSecond#OC,70.92,2.23,LimpLarry#5693,36.61,1.94,115,
NoobJoinerSecond#OC,69.58,2.26,Laning#Creep,39.52,1.92,115,
NoobJoinerSecond#OC,69.58,2.26,tonycxvers#bbn,42.62,2.57,115,
NoobJoinerSecond#OC,69.58,2.26,Nyath#961,43.96,1.97,115,
NoobJoinerSecond#OC,69.58,2.26,Tendinitis#OC,51.55,2.70,115,
NoobJoinerSecond#OC,69.58,2.26,头顶魔王冠身披星夜篷手持月华剑#TSS,43.13,1.70,115,
NoobJoinerSecond#OC,69.58,2.26,Gloogf#OC,25,8.3333333333333333,115,
NoobJoinerSecond#OC,69.58,2.26,zKayzKool#OC,39.91,1.96,115,
NoobJoinerSecond#OC,69.58,2.26,nickocula#nicko,46.41,1.71,115,
NoobJoinerSecond#OC,69.34,2.28,dim#dum,44.28,2.93,115,
NoobJoinerSecond#OC,69.34,2.28,KeKeNonStop#OC,45.60,2.35,115,
NoobJoinerSecond#OC,69.34,2.28,bobthekilla56#OC,42.09,1.81,115,
NoobJoinerSecond#OC,69.34,2.28,Jåce#CCI,40.89,2.15,115,
NoobJoinerSecond#OC,69.34,2.28,cuz#2412,42.86,2.08,115,
NoobJoinerSecond#OC,69.08,2.30,Jinn Wu#OC,42.20,1.74,115,
NoobJoinerSecond#OC,69.08,2.30,TapWat3r#OC,39.92,7.58,115,
NoobJoinerSecond#OC,69.08,2.30,Captain Peaches#Peach,41.33,2.25,115,
NoobJoinerSecond#OC,69.08,2.30,high4life#OC,37.75,1.68,115,
NoobJoinerSecond#OC,68.85,2.32,nickocula#nicko,42.42,1.73,115,
NoobJoinerSecond#OC,68.85,2.32,Vendo#OC,50.61,1.93,115,
NoobJoinerSecond#OC,68.85,2.32,DunkmasterMarius#OC,44.16,1.85,115,
NoobJoinerSecond#OC,68.85,2.32,SuperFengFeng#OC,41.48,2.00,115,
NoobJoinerSecond#OC,68.85,2.32,starduck#543,54.42,5.56,115,
NoobJoinerSecond#OC,68.54,2.33,DeSgeretjin#OC,39.47,1.74,115,
NoobJoinerSecond#OC,68.54,2.33,Pixelated Square#OC,43.57,3.95,115,
NoobJoinerSecond#OC,68.54,2.33,浑元形意太极拳掌门人马宝国#WDNMD,46.76,2.24,115,
NoobJoinerSecond#OC,68.54,2.33,Miton#OC,40.22,1.87,115,
NoobJoinerSecond#OC,68.86,2.34,MrOldSport#OC,41.17,2.71,115,
NoobJoinerSecond#OC,67.85,2.36,Pongoo#OC,41.35,1.87,115,
NoobJoinerSecond#OC,67.85,2.36,Hoof#OC,47.88,1.71,115,
NoobJoinerSecond#OC,67.85,2.36,Hoof#OC,47.88,1.71,115,
NoobJoinerSecond#OC,67.85,2.36,AHNOMORENAME#OC,48.46,4.32,115,
NoobJoinerSecond#OC,66.86,2.37,ZzVietNamOo#No1,46.78,2.32,115,
NoobJoinerSecond#OC,66.86,2.37,Otterlot#2023,42.79,3.16,115,
NoobJoinerSecond#OC,66.86,2.37,避税越多的越要查#521,43.34,1.72,115,
NoobJoinerSecond#OC,66.75,2.39,00SAD#uwu,38.66,2.08,115,
NoobJoinerSecond#OC,66.75,2.39,kyom0n#OTT,42.03,3.19,115,
NoobJoinerSecond#OC,66.75,2.39,bbiiuu123#1314,49.64,2.03,115,
NoobJoinerSecond#OC,66.75,2.39,geranium#7836,50.27,2.03,115,
NoobJoinerSecond#OC,66.17,2.42,Jackeyhate#1312,43.13,1.74,115,
NoobJoinerSecond#OC,66.17,2.42,ShurdJAY#10505,26.06,1.82,115,
NoobJoinerSecond#OC,66.17,2.42,L U 8#3333,43.07,5.80,115,
NoobJoinerSecond#OC,66.17,2.42,HOHHOT#1234,43.66,5.29,115,
NoobJoinerSecond#OC,67.17,2.42,TurretsHateHim#LMAO,41.05,1.94,115,
NoobJoinerSecond#OC,66.24,2.45,Aidan McDermott#2606,47.98,3.70,115,
NoobJoinerSecond#OC,66.24,2.45,Hi I like Shy#OC,33.10,2.80,115,
NoobJoinerSecond#OC,66.24,2.45,Xiao Chao Cam#KTS21,40.18,2.20,115,
NoobJoinerSecond#OC,66.24,2.45,Mentalmash#OC,44.00,2.81,115,
NoobJoinerSecond#OC,66.26,2.46,ZedSoGood#OC,35.64,2.23,115,
NoobJoinerSecond#OC,66.26,2.46,Key#KING,45.66,1.88,115,
NoobJoinerSecond#OC,64.12,2.48,RevBevDev#moc,37.13,2.82,115,
NoobJoinerSecond#OC,64.12,2.48,Revs#OC,34.35,2.33,115,
NoobJoinerSecond#OC,64.12,2.48,TheDarthMaul#8370,40.50,1.82,115,
NoobJoinerSecond#OC,64.12,2.48,Skinner Pigeon#OC,50.73,2.92,115,
NoobJoinerSecond#OC,64.25,2.49,goldchoc#222,43.59,1.80,115,
NoobJoinerSecond#OC,64.25,2.49,Transcendosaurus#OC,36.27,2.01,115,
NoobJoinerSecond#OC,65.06,2.51,LegShotChamp#PEPE,36.02,3.22,115,
NoobJoinerSecond#OC,65.06,2.51,Tanjirou Dies#OC,48.56,2.58,115,
NoobJoinerSecond#OC,65.06,2.51,Thundurus#OC,49.53,4.93,115,
NoobJoinerSecond#OC,64.07,2.54,nsSqBlJH#5382,39.70,1.95,115,
NoobJoinerSecond#OC,64.07,2.54,NeurospicyRabbit#TISM,36.50,3.82,115,
NoobJoinerSecond#OC,64.07,2.54,Toucs#OC,43.87,2.73,115,
NoobJoinerSecond#OC,64.07,2.54,official髭男dism#1231,42.23,2.26,115,
NoobJoinerSecond#OC,65.02,2.58,abo go boong#ram,36.71,2.49,115,
NoobJoinerSecond#OC,65.02,2.58,The Elo Bomber#OC,34.79,3.65,115,
NoobJoinerSecond#OC,65.02,2.58,Kikoser#OC,42.58,1.99,115,
NoobJoinerSecond#OC,65.02,2.58,Smeagol#OC,48.92,1.97,115,
NoobJoinerSecond#OC,65.02,2.58,Feet Lover#OC,41.21,1.85,115,
NoobJoinerSecond#OC,65.02,2.58,Wololololololo#OC,39.11,1.90,115,
NoobJoinerSecond#OC,65.17,2.61,Faneragare#OC,41.92,3.09,115,
NoobJoinerSecond#OC,65.17,2.61,Starvin Yuumi#OC,39.96,2.04,115,
NoobJoinerSecond#OC,65.17,2.61,FGTFJJ#0914,41.21,1.63,115,
NoobJoinerSecond#OC,65.17,2.61,Climate#OC,39.41,3.13,115,
NoobJoinerSecond#OC,65.53,2.64,Grím Gríèfèr#OCE44,37.57,2.26,115,
NoobJoinerSecond#OC,65.53,2.64,Stinkpreet Rajj#India,44.02,2.77,115,
NoobJoinerSecond#OC,65.53,2.64,AnimeRuinsLives#OC,45.11,4.42,115,
NoobJoinerSecond#OC,65.53,2.64,Janghwa#OC,39.53,1.97,115,
NoobJoinerSecond#OC,60.89,2.70,Mynamejeff#OC,44.00,6.32,115,
NoobJoinerSecond#OC,60.89,2.70,Mindogga#OC,34.34,5.00,115,
NoobJoinerSecond#OC,60.89,2.70,Ryablite#OC,49.87,2.12,115,
NoobJoinerSecond#OC,60.89,2.70,Nyath#961,41.49,2.66,115,
NoobJoinerSecond#OC,60.89,2.70,6bricks#OC,44.79,2.95,115,
NoobJoinerSecond#OC,60.89,2.70,SHElovesCHoKed#521,34.28,3.00,115,
NoobJoinerSecond#OC,64.04,2.74,Inside my bush#oc,41.26,2.05,115,
NoobJoinerSecond#OC,64.04,2.74,FISHSEX#178,40.77,2.82,115,
NoobJoinerSecond#OC,64.04,2.74,1213333#1368,42.22,2.26,115,
NoobJoinerSecond#OC,64.04,2.74,Psistriker#OC,37.12,2.59,115,
NoobJoinerSecond#OC,65.47,2.77,Naught#7056,40.11,1.84,115,
NoobJoinerSecond#OC,65.47,2.77,Just wait Alan#OC,41.46,3.04,115,
NoobJoinerSecond#OC,65.47,2.77,Shapey#1998,42.24,2.82,115,
NoobJoinerSecond#OC,67.06,2.78,Jét#OC,37.48,2.06,115,
NoobJoinerSecond#OC,67.77,2.82,Many#4583,41.74,2.47,115,
NoobJoinerSecond#OC,67.77,2.82,Kikoser#OC,35.55,2.27,115,
NoobJoinerSecond#OC,67.77,2.82,LeprechaunZ#OC,39.64,2.02,115,
NoobJoinerSecond#OC,67.77,2.82,Bo2isKing#Bo2,48.13,3.23,115,
NoobJoinerSecond#OC,68.11,2.90,哥哥弟弟大大滴#快来试试,29.71,1.92,115,
NoobJoinerSecond#OC,68.11,2.90,Oliver#808,31.62,2.07,115,
NoobJoinerSecond#OC,68.11,2.90,2ddxdxd#OC,35.39,3.37,115,
NoobJoinerSecond#OC,68.11,2.90,DAMM#2077,43.32,3.86,115,
NoobJoinerSecond#OC,68.11,2.90,烟霞志#666,40.45,2.51,115,
NoobJoinerSecond#OC,68.11,2.90,Chovy#K0REA,43.45,3.08,115,
NoobJoinerSecond#OC,68.11,2.90,DlRTBOY#1502,37.01,2.30,115,
NoobJoinerSecond#OC,66.68,2.93,IcyAlbie#OC,37.23,1.81,115,
NoobJoinerSecond#OC,66.68,2.93,Arcoa#OC,53.23,3.70,115,
NoobJoinerSecond#OC,66.68,2.93,me own u number1#OC,43.63,3.21,115,
NoobJoinerSecond#OC,66.41,2.98,xBootySlayerXx#2630,42.07,2.38,115,
NoobJoinerSecond#OC,66.41,2.98,柳如烟#233,40.98,2.26,115,
NoobJoinerSecond#OC,66.41,2.98,Dalgomi#Dally,41.89,2.20,115,
NoobJoinerSecond#OC,66.41,2.98,bubber#ducky,35.88,2.16,115,
NoobJoinerSecond#OC,66.31,3.03,brian123#OC,25,8.3333333333333333,115,1
NoobJoinerSecond#OC,66.31,3.03,蔡大陈老板#6969,38.75,2.14,115,
NoobJoinerSecond#OC,66.31,3.03,Viktor Reznov#Uraa,42.68,2.82,115,
NoobJoinerSecond#OC,66.31,3.03,Good Boy#ENFP,44.01,2.72,115,
NoobJoinerSecond#OC,62.35,3.08,Hoof#OC,44.73,1.83,115,
NoobJoinerSecond#OC,62.35,3.08,Stevie Wonder#MOG,44.73,2.15,115,
NoobJoinerSecond#OC,62.35,3.08,Elitemaster188#OC,38.63,4.77,115,
NoobJoinerSecond#OC,62.35,3.08,EchidnaKing555#AUS,47.49,3.98,115,
NoobJoinerSecond#OC,62.78,3.15,LINWEI#1412,38.17,2.04,115,
NoobJoinerSecond#OC,62.78,3.15,S1mp#Less,27.17,2.99,115,
NoobJoinerSecond#OC,62.78,3.15,S1mp#Less,27.17,2.99,115,
NoobJoinerSecond#OC,62.78,3.15,爱射交#6RunR,41.10,2.32,115,
