region,combination,player_games,regional_player_game_share_pct,prevalence_rank,placing,observations,mean_rating_change
br,R0 / GM+0,1360,24.438454627133872,1,1,264,62.083333333333336
br,R0 / GM+0,1360,24.438454627133872,1,2,246,34.97560975609756
br,R0 / GM+0,1360,24.438454627133872,1,3,258,9.484496124031008
br,R0 / GM+0,1360,24.438454627133872,1,4,216,-24.805555555555557
br,R0 / GM+0,1360,24.438454627133872,1,5,203,-53.52709359605911
br,R0 / GM+0,1360,24.438454627133872,1,6,173,-82.02890173410404
br,R1 / GM+0,615,11.05121293800539,5,1,149,49.69798657718121
br,R1 / GM+0,615,11.05121293800539,5,2,114,26.94736842105263
br,R1 / GM+0,615,11.05121293800539,5,3,91,4.747252747252747
br,R1 / GM+0,615,11.05121293800539,5,4,100,-19.15
br,R1 / GM+0,615,11.05121293800539,5,5,76,-40.19736842105263
br,R1 / GM+0,615,11.05121293800539,5,6,85,-64.28235294117647
br,R1 / GM+1,1006,18.07726864330638,2,1,299,48.374581939799334
br,R1 / GM+1,1006,18.07726864330638,2,2,197,21.263959390862944
br,R1 / GM+1,1006,18.07726864330638,2,3,152,-7.0855263157894735
br,R1 / GM+1,1006,18.07726864330638,2,4,162,-36.641975308641975
br,R1 / GM+1,1006,18.07726864330638,2,5,97,-65.11340206185567
br,R1 / GM+1,1006,18.07726864330638,2,6,99,-95.29292929292929
br,R2 / GM+1,801,14.393530997304582,3,1,279,33.23297491039426
br,R2 / GM+1,801,14.393530997304582,3,2,215,13.869767441860466
br,R2 / GM+1,801,14.393530997304582,3,3,115,-11.704347826086957
br,R2 / GM+1,801,14.393530997304582,3,4,74,-33.17567567567568
br,R2 / GM+1,801,14.393530997304582,3,5,71,-61.80281690140845
br,R2 / GM+1,801,14.393530997304582,3,6,47,-65.74468085106383
br,R2 / GM+2,734,13.189577717879605,4,1,397,42.36523929471033
br,R2 / GM+2,734,13.189577717879605,4,2,127,11.834645669291339
br,R2 / GM+2,734,13.189577717879605,4,3,93,-34.623655913978496
br,R2 / GM+2,734,13.189577717879605,4,4,48,-60.020833333333336
br,R2 / GM+2,734,13.189577717879605,4,5,32,-95.84375
