region,combination,player_games,players,regional_player_game_share_pct,prevalence_rank,cumulative_share_before_pct,shown_in_chart
br,R0 / GM+0,1360,145,24.438454627133872,1,0.0,True
br,R1 / GM+1,1006,91,18.07726864330638,2,24.43845462713387,True
br,R2 / GM+1,801,60,14.393530997304582,3,42.515723270440255,True
br,R2 / GM+2,734,35,13.189577717879605,4,56.90925426774484,True
br,R1 / GM+0,615,104,11.05121293800539,5,70.09883198562443,True
br,R0 / GM+1,564,121,10.134770889487871,6,81.15004492362984,False
br,R2 / GM+0,371,56,6.666666666666667,7,91.28481581311769,False
br,R1 / GM+2,64,29,1.1500449236298294,8,97.95148247978436,False
br,R0 / GM+2,50,40,0.8984725965858041,9,99.1015274034142,False
eune,R0 / GM+0,1112,129,23.123310459555,1,0.0,True
eune,R2 / GM+2,985,46,20.48242877937201,2,23.123310459555004,True
eune,R1 / GM+1,721,82,14.992721979621543,3,43.60573923892701,True
eune,R2 / GM+1,629,60,13.079642337284259,4,58.598461218548564,True
eune,R0 / GM+1,491,109,10.210022873778332,5,71.67810355583282,True
eune,R1 / GM+0,489,95,10.168434185901434,6,81.88812642961115,False
eune,R2 / GM+0,272,62,5.656061551258058,7,92.05656061551258,False
eune,R1 / GM+2,60,28,1.2476606363069247,8,97.71262216677064,False
eune,R0 / GM+2,50,34,1.039717196922437,9,98.96028280307756,False
euw,R0 / GM+0,1049,95,28.085676037483264,1,0.0,True
euw,R2 / GM+2,770,48,20.615796519410978,2,28.085676037483267,True
euw,R1 / GM+1,458,77,12.262382864792503,3,48.701472556894245,True
euw,R2 / GM+1,392,56,10.495314591700133,4,60.963855421686745,True
euw,R1 / GM+0,364,72,9.745649263721551,5,71.45917001338688,True
euw,R0 / GM+1,329,80,8.808567603748326,6,81.20481927710843,False
euw,R2 / GM+0,259,45,6.934404283801874,7,90.01338688085676,False
euw,R1 / GM+2,83,31,2.2222222222222223,8,96.94779116465863,False
euw,R0 / GM+2,31,23,0.8299866131191432,9,99.17001338688085,False
jp,R2 / GM+1,421,18,32.359723289777094,1,0.0,True
jp,R2 / GM+2,250,19,19.21598770176787,2,32.359723289777094,True
jp,R0 / GM+0,191,21,14.681014604150652,3,51.57571099154496,True
jp,R1 / GM+1,134,17,10.29976940814758,4,66.25672559569561,True
jp,R1 / GM+0,118,20,9.069946195234435,5,76.5564950038432,True
jp,R2 / GM+0,116,12,8.916218293620293,6,85.62644119907763,False
